id,departure city,discount,price,no of items,location,class,segment,sub-class,delivery_type,RID,profit,address code,departure state
32,Alexandria,0,12.42,3,South,qexty,Home Office,shorts,Standard Class,2584,4.4712,22304,Virginia
33,Alexandria,0,155.35,13,South,fynota,Home Office,colddrinks,Standard Class,2583,0,22304,Virginia
34,Alexandria,0,16.68,2,South,kariox,Home Office,phone,Standard Class,2582,8.34,22304,Virginia
35,Alexandria,0,19.44,3,South,kariox,Home Office,phone,Standard Class,2581,9.3312,22304,Virginia
36,Alexandria,0,489.92,8,South,kariox,Home Office,laptop,Standard Class,2580,0,22304,Virginia
37,Alexandria,0,62.82,3,South,qexty,Home Office,shorts,Standard Class,2579,30.7818,22304,Virginia
38,Rapid City,0,10.68,2,Central,kariox,Corporate,headset,First Class,8150,5.0196,57701,South Dakota
39,Scottsdale,0.2,56.064,4,West,kariox,Consumer,phone,First Class,5464,19.6224,85254,Arizona
40,Los Angeles,0,19.3,2,West,qexty,Consumer,shorts,Standard Class,5738,5.79,90049,California
41,Springfield,0.2,64.864,4,West,kariox,Corporate,battery,Second Class,5365,6.4864,97477,Oregon
42,Laredo,0.2,31.2,3,Central,fynota,Consumer,chocolates,Standard Class,594,9.75,78041,Texas
43,Laredo,0.2,9.344,2,Central,kariox,Consumer,television,Standard Class,593,1.168,78041,Texas
44,Huntsville,0.8,10.43,7,Central,kariox,Consumer,headset,Standard Class,7662,-18.2525,77340,Texas
45,Huntsville,0.6,76.728,3,Central,qexty,Consumer,shorts,Standard Class,7661,-53.7096,77340,Texas
46,Henderson,0,6.54,1,South,kariox,Home Office,phone,Standard Class,7481,3.0084,42420,Kentucky
47,Henderson,0,31.12,4,South,kariox,Home Office,lighting,Standard Class,7480,0.3112,42420,Kentucky
48,Henderson,0,755.96,4,South,fynota,Home Office,colddrinks,Standard Class,7479,204.1092,42420,Kentucky
49,Henderson,0,391.98,2,South,fynota,Home Office,colddrinks,Standard Class,7478,113.6742,42420,Kentucky
50,Scottsdale,0.7,32.34,10,West,kariox,Consumer,headset,First Class,5463,-23.716,85254,Arizona
51,Henderson,0,609.98,2,South,kariox,Home Office,headset,Standard Class,7476,274.491,42420,Kentucky
52,Henderson,0,2573.82,9,South,qexty,Home Office,tshirts,Standard Class,7475,746.4078,42420,Kentucky
53,Athens,0,12.78,3,South,kariox,Corporate,television,First Class,7181,5.2398,30605,Georgia
54,Los Angeles,0,19.44,3,West,kariox,Consumer,phone,,5328,9.3312,90049,California
55,Philadelphia,0.2,19.536,3,East,kariox,Consumer,television,Standard Class,1760,4.884,19143,Pennsylvania
56,Naperville,0.8,3.54,2,Central,kariox,Home Office,headset,Standard Class,742,-5.487,60540,Illinois
57,Naperville,0.2,272.736,3,Central,kariox,Home Office,laptop,Standard Class,741,-64.7748,60540,Illinois
58,Naperville,0.2,11.784,3,Central,kariox,Home Office,tablet,Standard Class,740,4.2717,60540,Illinois
59,Springfield,0,2.89,1,South,kariox,Corporate,tablet,Standard Class,866,1.3583,22153,Virginia
60,Springfield,0,51.94,1,South,qexty,Corporate,shorts,Standard Class,867,21.2954,22153,Virginia
61,Henderson,0,5.48,2,South,kariox,Home Office,television,Standard Class,7477,1.4796,42420,Kentucky
62,Bossier City,0,11.36,2,South,kariox,Corporate,watch,Second Class,764,5.3392,71111,Louisiana
63,Dover,0,9.94,2,East,qexty,Consumer,shorts,First Class,717,3.0814,19901,Delaware
64,Philadelphia,0.2,30.072,3,East,kariox,Consumer,tablet,Second Class,974,10.1493,19134,Pennsylvania
65,Philadelphia,0.7,18.588,2,East,kariox,Consumer,headset,Second Class,973,-13.6312,19134,Pennsylvania
66,Philadelphia,0.4,124.2,3,East,fynota,Consumer,colddrinks,Second Class,972,-31.05,19134,Pennsylvania
67,Philadelphia,0.2,127.104,6,East,qexty,Consumer,shorts,Second Class,971,28.5984,19134,Pennsylvania
68,Philadelphia,0.5,61.96,4,East,qexty,Corporate,pants,First Class,6475,-53.2856,19140,Pennsylvania
69,Newark,0.7,3.438,2,East,kariox,Consumer,headset,Standard Class,9630,-2.5212,43055,Ohio
70,Newark,0.2,37.408,7,East,kariox,Consumer,phone,Standard Class,9629,13.0928,43055,Ohio
71,Roswell,0,149.95,5,South,fynota,Consumer,chocolates,First Class,1914,65.978,30076,Georgia
72,San Francisco,0.15,333.999,3,West,qexty,Consumer,pants,Standard Class,4939,3.9294,94109,California
73,San Francisco,0,1325.85,5,West,kariox,Consumer,laptop,Standard Class,4938,238.653,94109,California
74,Mount Pleasant,0,545.94,6,South,qexty,Consumer,tshirts,Second Class,2979,87.3504,29464,South Carolina
75,Bossier City,0,572.58,6,South,kariox,Corporate,laptop,Second Class,768,34.3548,71111,Louisiana
76,Bossier City,0,5.64,3,South,kariox,Corporate,headset,Second Class,767,2.7072,71111,Louisiana
77,Bossier City,0,646.74,6,South,fynota,Corporate,chocolates,Second Class,766,258.696,71111,Louisiana
78,San Francisco,0,19.9,5,West,kariox,Consumer,television,Standard Class,4940,6.567,94109,California
79,Bossier City,0,50.94,3,South,kariox,Corporate,watch,Second Class,765,25.47,71111,Louisiana
80,Concord,0.2,129.568,2,West,qexty,Consumer,tshirts,Standard Class,457,-24.294,94521,California
81,Dallas,0.8,7.96,2,Central,kariox,Consumer,battery,Standard Class,1334,-13.93,75220,Texas
82,Dallas,0.8,1.08,3,Central,kariox,Consumer,headset,Standard Class,1333,-1.728,75220,Texas
83,Seattle,0.2,21.36,5,West,kariox,Corporate,headset,Standard Class,7438,7.209,98105,Washington
84,Houston,0.2,16.176,3,Central,kariox,Consumer,phone,Second Class,5467,6.066,77095,Texas
85,Seattle,0,81.96,2,West,kariox,Corporate,battery,Standard Class,9763,22.9488,98103,Washington
86,Seattle,0,239.97,3,West,fynota,Corporate,chocolates,Standard Class,9762,86.3892,98103,Washington
87,Chicago,0.2,54.208,14,Central,kariox,Consumer,television,Standard Class,9516,8.8088,60653,Illinois
88,Seattle,0,238.62,2,West,kariox,Corporate,charger,Standard Class,9764,4.7724,98103,Washington
89,Lubbock,0.6,25.16,5,Central,qexty,Consumer,shorts,Same Day,6082,-11.322,79424,Texas
90,Medford,0.2,32.896,4,West,kariox,Consumer,phone,Standard Class,5512,11.1024,97504,Oregon
91,Richmond,0,62.31,3,Central,fynota,Corporate,chocolates,Standard Class,4521,22.4316,47374,Indiana
92,Richmond,0,20.32,4,Central,qexty,Corporate,shorts,Standard Class,4522,6.9088,47374,Indiana
93,Los Angeles,0,12.96,2,West,kariox,Home Office,phone,Standard Class,8504,6.2208,90049,California
94,Woodstock,0.8,8.85,5,Central,kariox,Consumer,headset,Standard Class,2883,-13.7175,60098,Illinois
95,Moreno Valley,0,19.44,3,West,kariox,Consumer,phone,First Class,7611,9.3312,92553,California
96,El Paso,0.2,6.936,3,Central,kariox,Home Office,tablet,Standard Class,6530,2.3409,79907,Texas
97,El Paso,0.8,4.428,3,Central,kariox,Home Office,headset,Standard Class,6531,-6.8634,79907,Texas
98,Medford,0.2,22.776,3,West,kariox,Consumer,phone,Standard Class,5513,7.6869,97504,Oregon
99,Columbus,0.2,19.456,4,East,kariox,Consumer,television,First Class,9464,3.4048,43229,Ohio
100,Columbia,0,64.96,2,Central,kariox,Consumer,laptop,Second Class,9260,2.5984,65203,Missouri
101,Arlington,0.2,12.624,2,Central,kariox,Consumer,laptop,Standard Class,8223,-2.5248,76017,Texas
102,Columbia,0,51.9,3,Central,kariox,Consumer,headset,Second Class,9259,24.393,65203,Missouri
103,Columbia,0,332.94,3,Central,qexty,Consumer,shorts,Second Class,9258,53.2704,65203,Missouri
104,Columbia,0,9.64,2,Central,kariox,Consumer,headset,Second Class,9257,4.4344,65203,Missouri
105,Green Bay,0,468.9,6,Central,fynota,Consumer,chocolates,First Class,541,206.316,54302,Wisconsin
106,San Diego,0,12.35,5,West,kariox,Home Office,lighting,Standard Class,1704,5.8045,92037,California
107,Saint Petersburg,0.2,180.96,5,South,fynota,Consumer,colddrinks,Standard Class,9139,13.572,33710,Florida
108,Seattle,0.2,83.84,2,West,kariox,Consumer,headset,Second Class,1518,27.248,98105,Washington
109,Seattle,0.2,13.272,3,West,kariox,Consumer,headset,Second Class,1519,4.3134,98105,Washington
110,San Diego,0.2,82.896,3,West,kariox,Home Office,headset,Standard Class,1544,29.0136,92024,California
111,San Diego,0,34.24,4,West,kariox,Home Office,phone,Standard Class,1545,16.0928,92024,California
112,Escondido,0.2,17.248,2,West,kariox,Corporate,headset,Second Class,8585,6.0368,92025,California
113,Chesapeake,0,15,4,South,kariox,Corporate,tablet,First Class,1998,7.2,23320,Virginia
114,Chesapeake,0,161.61,1,South,fynota,Corporate,colddrinks,First Class,1999,42.0186,23320,Virginia
115,Saint Petersburg,0.7,18.336,2,South,kariox,Consumer,headset,Standard Class,9138,-12.224,33710,Florida
116,Romeoville,0.8,8.952,2,Central,kariox,Consumer,headset,Second Class,8981,-14.7708,60441,Illinois
117,Chesapeake,0,144.95,5,South,fynota,Corporate,colddrinks,First Class,2000,42.0355,23320,Virginia
118,Columbia,0,14.94,3,Central,kariox,Consumer,tablet,Second Class,9256,6.8724,65203,Missouri
119,Chesapeake,0,17.46,2,South,kariox,Consumer,headset,Standard Class,5633,8.2062,23320,Virginia
120,Chesapeake,0,1256.22,6,South,qexty,Consumer,hoodies,Standard Class,5632,75.3732,23320,Virginia
121,Columbia,0,60.89,1,Central,qexty,Consumer,tshirts,Second Class,9255,15.2225,65203,Missouri
122,North Las Vegas,0,14.56,2,West,qexty,Home Office,shorts,First Class,9267,5.5328,89031,Nevada
123,New York City,0,64.96,4,East,kariox,Corporate,laptop,Second Class,8736,9.744,10024,New York
124,Linden,0,115.36,7,East,fynota,Corporate,chocolates,Standard Class,850,49.6048,7036,New Jersey
125,Chesapeake,0,234.45,3,South,fynota,Consumer,chocolates,Standard Class,5631,103.158,23320,Virginia
126,Lakeland,0.2,20.016,3,South,qexty,Corporate,shorts,First Class,6166,5.5044,33801,Florida
127,Springfield,0,14.4,5,South,kariox,Corporate,tablet,Standard Class,7585,6.624,22153,Virginia
128,Lakeland,0.2,170.24,2,South,fynota,Corporate,chocolates,First Class,6167,53.2,33801,Florida
129,Hamilton,0.2,7.408,2,East,kariox,Consumer,television,Standard Class,196,1.2038,45011,Ohio
130,Hamilton,0.2,6.048,3,East,kariox,Consumer,television,Standard Class,197,1.5876,45011,Ohio
131,Asheville,0.2,16.272,1,South,kariox,Corporate,laptop,Standard Class,5461,-3.8646,28806,North Carolina
132,Springfield,0,3499.93,7,South,fynota,Corporate,colddrinks,Standard Class,7584,909.9818,22153,Virginia
133,Springfield,0,122.97,3,South,kariox,Corporate,phone,Standard Class,7586,60.2553,22153,Virginia
134,Knoxville,0.2,218.376,3,South,qexty,Consumer,tshirts,Standard Class,8346,-10.9188,37918,Tennessee
135,Springfield,0,122.94,3,South,kariox,Corporate,headset,Standard Class,7588,59.0112,22153,Virginia
136,Knoxville,0.2,59.2,5,South,kariox,Consumer,tablet,Standard Class,8344,22.2,37918,Tennessee
137,Knoxville,0.2,32.952,3,South,qexty,Consumer,shorts,Standard Class,8345,6.5904,37918,Tennessee
138,Greensboro,0.7,7.644,4,South,kariox,Consumer,headset,Standard Class,1768,-5.8604,27405,North Carolina
139,Greensboro,0.7,51.465,5,South,kariox,Consumer,headset,Standard Class,1769,-39.4565,27405,North Carolina
140,Tucson,0.2,74.352,3,West,kariox,Corporate,phone,Standard Class,2871,23.235,85705,Arizona
141,Lakeland,0.2,4.992,3,South,qexty,Corporate,shorts,First Class,6165,1.3728,33801,Florida
142,Springfield,0,9.32,4,South,kariox,Corporate,television,Standard Class,7587,2.7028,22153,Virginia
143,Lakeland,0.7,33.57,5,South,kariox,Corporate,headset,First Class,6164,-25.737,33801,Florida
144,Jacksonville,0.2,8.016,3,South,kariox,Home Office,television,Standard Class,2700,1.002,32216,Florida
145,Lakeland,0.2,11.808,4,South,kariox,Corporate,tablet,First Class,6162,3.9852,33801,Florida
146,Jackson,0,12.96,2,South,kariox,Corporate,phone,Standard Class,7430,6.3504,39212,Mississippi
147,Jackson,0,16,4,South,kariox,Corporate,phone,Standard Class,7431,7.68,39212,Mississippi
148,Jackson,0,32.67,3,South,kariox,Corporate,battery,Standard Class,7432,8.4942,39212,Mississippi
149,Philadelphia,0.2,126.624,6,East,kariox,Corporate,phone,Second Class,8011,41.1528,19134,Pennsylvania
150,Jacksonville,0.5,821.3,4,South,fynota,Home Office,sweets,Standard Class,2697,-16.426,32216,Florida
151,Jacksonville,0.5,22638.48,6,South,fynota,Home Office,sweets,Standard Class,2698,-1811.0784,32216,Florida
152,Jacksonville,0.2,21.376,4,South,kariox,Home Office,phone,Standard Class,2699,7.4816,32216,Florida
153,Lakeland,0.2,26.16,3,South,kariox,Corporate,laptop,First Class,6163,1.962,33801,Florida
154,Tucson,0.2,314.352,3,West,qexty,Corporate,tshirts,Standard Class,2872,-35.3646,85705,Arizona
155,Jacksonville,0.2,18.936,3,South,kariox,Home Office,lighting,Standard Class,2702,5.9175,32216,Florida
156,Jacksonville,0.2,122.352,3,South,qexty,Home Office,shorts,Standard Class,2703,15.294,32216,Florida
157,San Francisco,0.15,1198.33,10,West,qexty,Home Office,pants,Second Class,6152,70.49,94110,California
158,Burbank,0,111,2,West,qexty,Home Office,shorts,Standard Class,7328,14.43,91505,California
159,Burbank,0.2,1279.968,4,West,fynota,Home Office,sweets,Standard Class,7329,415.9896,91505,California
160,Burbank,0,1856.19,7,West,kariox,Home Office,laptop,Standard Class,7330,334.1142,91505,California
161,Lakeland,0.2,323.976,3,South,fynota,Corporate,colddrinks,First Class,6161,28.3479,33801,Florida
162,Jacksonville,0.2,30.768,2,South,qexty,Home Office,shorts,Standard Class,2701,8.0766,32216,Florida
163,Portage,0,16.28,2,Central,kariox,Consumer,television,Same Day,4341,6.512,46368,Indiana
164,Los Angeles,0,66.3,3,West,fynota,Corporate,chocolates,Standard Class,4245,8.619,90036,California
165,Los Angeles,0.2,604.752,6,West,fynota,Consumer,colddrinks,Second Class,3556,37.797,90036,California
166,Seattle,0,44.4,3,West,kariox,Corporate,tablet,Standard Class,5285,22.2,98105,Washington
167,New York City,0,10.5,5,East,kariox,Corporate,television,First Class,5954,2.94,10009,New York
168,San Francisco,0.15,205.666,2,West,qexty,Consumer,pants,Standard Class,6139,-12.098,94110,California
169,Brownsville,0.2,335.72,5,Central,kariox,Home Office,watch,First Class,7630,113.3055,78521,Texas
170,Brownsville,0.2,251.944,7,Central,fynota,Home Office,colddrinks,First Class,7631,88.1804,78521,Texas
171,Brownsville,0.3,127.302,7,Central,qexty,Home Office,tshirts,First Class,7632,-9.093,78521,Texas
172,Apple Valley,0,129.3,2,Central,kariox,Consumer,laptop,Standard Class,8431,6.465,55124,Minnesota
173,Seattle,0,15.84,3,West,kariox,Corporate,laptop,Standard Class,5284,0,98105,Washington
174,San Francisco,0.2,673.568,2,West,kariox,Consumer,headset,Standard Class,2230,252.588,94122,California
175,Philadelphia,0.7,0.852,1,East,kariox,Consumer,headset,Same Day,4712,-0.5964,19120,Pennsylvania
176,Chicago,0.8,8.134,7,Central,kariox,Consumer,headset,Standard Class,5049,-13.8278,60610,Illinois
177,Chicago,0.2,79.984,2,Central,fynota,Consumer,chocolates,Standard Class,5050,13.9972,60610,Illinois
178,Miami,0.7,1.869,1,South,kariox,Corporate,headset,Standard Class,5480,-1.3083,33180,Florida
179,Tampa,0.2,1125.488,7,South,qexty,Consumer,tshirts,Same Day,9566,98.4802,33614,Florida
180,Tampa,0.7,12.645,5,South,kariox,Consumer,headset,Same Day,9567,-10.116,33614,Florida
181,Tampa,0.2,4.032,2,South,kariox,Consumer,television,Same Day,9568,1.0584,33614,Florida
182,San Francisco,0,52.98,2,West,kariox,Consumer,battery,Standard Class,2231,14.8344,94122,California
183,Los Angeles,0,330.4,2,West,kariox,Consumer,laptop,Second Class,3555,85.904,90036,California
184,Long Beach,0,49.65,5,East,kariox,Consumer,television,Standard Class,2897,20.853,11561,New York
185,Springfield,0.4,330.588,1,East,qexty,Home Office,hoodies,Standard Class,9900,-143.2548,45503,Ohio
186,Delray Beach,0.2,9.912,3,South,kariox,Consumer,tablet,First Class,6591,3.2214,33445,Florida
187,New York City,0,24.9,5,East,kariox,Consumer,phone,Standard Class,4480,11.703,10024,New York
188,Fresno,0,40.48,2,West,qexty,Consumer,shorts,Second Class,7802,14.5728,93727,California
189,New York City,0.1,366.786,7,East,qexty,Consumer,tshirts,Standard Class,2433,65.2064,10009,New York
190,San Francisco,0,6.56,2,West,kariox,Consumer,television,Standard Class,9307,1.9024,94110,California
191,San Francisco,0,14.88,2,West,kariox,Consumer,television,Standard Class,9308,3.72,94110,California
192,San Francisco,0,45.48,4,West,fynota,Consumer,chocolates,Standard Class,9309,15.918,94110,California
193,Plano,0.3,890.841,3,Central,qexty,Consumer,hoodies,Standard Class,7306,-152.7156,75023,Texas
194,San Francisco,0,25.44,6,West,kariox,Consumer,television,Standard Class,9310,9.9216,94110,California
195,San Francisco,0,3.36,2,West,kariox,Corporate,television,Second Class,9052,0.84,94122,California
196,San Francisco,0.2,27.936,4,West,kariox,Corporate,headset,Second Class,9053,9.4284,94122,California
197,San Francisco,0.2,28.784,2,West,fynota,Corporate,colddrinks,Second Class,9054,2.8784,94122,California
198,Pomona,0,18.75,5,West,kariox,Consumer,tablet,Second Class,9660,9,91767,California
199,Des Moines,0,6.12,3,Central,kariox,Consumer,watch,Standard Class,7840,2.8764,50315,Iowa
200,Des Moines,0,1184.72,4,Central,qexty,Consumer,hoodies,Standard Class,7841,106.6248,50315,Iowa
201,Albuquerque,0.2,302.376,3,West,fynota,Home Office,colddrinks,Standard Class,8464,22.6782,87105,New Mexico
202,Jackson,0,30.44,2,South,kariox,Corporate,headset,Standard Class,7429,14.9156,39212,Mississippi
203,Jackson,0,11.43,3,South,kariox,Corporate,headset,Standard Class,7428,5.3721,39212,Mississippi
204,Huntington Beach,0,10.56,2,West,kariox,Corporate,phone,Standard Class,1891,4.752,92646,California
205,Dallas,0.2,5.184,1,Central,kariox,Consumer,phone,Same Day,5102,1.8792,75217,Texas
206,Columbus,0.2,44.672,8,East,kariox,Corporate,laptop,Standard Class,7249,-10.0512,43229,Ohio
207,Houston,0.8,176.772,3,Central,kariox,Consumer,battery,Standard Class,7349,-459.6072,77095,Texas
208,San Diego,0.2,626.352,3,West,qexty,Consumer,hoodies,Standard Class,8712,-23.4882,92037,California
209,Columbia,0,354.9,5,South,kariox,Consumer,laptop,Same Day,1565,17.745,29203,South Carolina
210,Margate,0.2,15.552,3,South,kariox,Consumer,television,Standard Class,4422,2.3328,33063,Florida
211,Yonkers,0,59.52,3,East,kariox,Consumer,television,Second Class,8497,15.4752,10701,New York
212,Yonkers,0,479.97,3,East,fynota,Consumer,chocolates,Second Class,8498,177.5889,10701,New York
213,Columbus,0.5,302.45,5,East,qexty,Corporate,pants,Standard Class,7248,-199.617,43229,Ohio
214,Yonkers,0,18.62,2,East,kariox,Consumer,charger,Second Class,8499,5.3998,10701,New York
215,Yonkers,0,97.82,2,East,kariox,Consumer,phone,Second Class,8501,45.9754,10701,New York
216,Seattle,0.2,48.712,1,West,qexty,Consumer,tshirts,First Class,4962,5.4801,98103,Washington
217,Seattle,0,17.94,3,West,kariox,Consumer,television,First Class,4963,4.6644,98103,Washington
218,Seattle,0,242.94,3,West,kariox,Consumer,laptop,First Class,4964,4.8588,98103,Washington
219,Des Moines,0.2,107.648,2,West,kariox,Home Office,headset,Second Class,5254,33.64,98198,Washington
220,Seattle,0,20.65,5,West,kariox,Corporate,television,Standard Class,9641,9.499,98103,Washington
221,Seattle,0,204.9,5,West,kariox,Corporate,laptop,Standard Class,9642,0,98103,Washington
222,Yonkers,0.2,49.632,6,East,kariox,Consumer,headset,Second Class,8500,16.7508,10701,New York
223,Seattle,0.2,436.704,6,West,qexty,Corporate,tshirts,Standard Class,9643,21.8352,98103,Washington
224,Columbus,0.2,15.12,3,East,kariox,Corporate,tablet,Standard Class,7247,4.914,43229,Ohio
225,New York City,0.2,125.76,3,East,kariox,Home Office,headset,Standard Class,1164,40.872,10035,New York
226,Seattle,0.2,457.568,2,West,qexty,Consumer,tshirts,Second Class,158,51.4764,98115,Washington
227,New York City,0,5.94,3,East,fynota,Home Office,colddrinks,Standard Class,5714,1.6038,10035,New York
228,Elmhurst,0.3,634.116,6,Central,qexty,Home Office,tshirts,Standard Class,6548,-172.1172,60126,Illinois
229,Elmhurst,0.2,17.472,3,Central,kariox,Home Office,phone,Standard Class,6549,5.6784,60126,Illinois
230,El Paso,0.2,18.84,5,Central,kariox,Consumer,lighting,Standard Class,7948,-3.5325,79907,Texas
231,Dallas,0.2,15.552,3,Central,kariox,Consumer,phone,Same Day,5103,5.4432,75217,Texas
232,El Paso,0.6,63.552,6,Central,qexty,Consumer,shorts,Standard Class,7950,-34.9536,79907,Texas
233,New York City,0.2,25.32,5,East,kariox,Home Office,headset,Standard Class,1165,9.1785,10035,New York
234,El Paso,0.2,129.552,3,Central,kariox,Consumer,laptop,Standard Class,7951,-22.6716,79907,Texas
235,Houston,0.3,376.509,3,Central,qexty,Consumer,hoodies,Standard Class,8311,-43.0296,77036,Texas
236,New York City,0,11.36,2,East,kariox,Home Office,watch,Standard Class,6058,5.3392,10009,New York
237,New York City,0,36.4,5,East,kariox,Home Office,phone,Standard Class,6059,17.472,10009,New York
238,Philadelphia,0.2,3.424,1,East,kariox,Corporate,phone,Standard Class,9946,1.07,19120,Pennsylvania
239,Philadelphia,0.2,151.2,3,East,fynota,Corporate,chocolates,Standard Class,9947,32.13,19120,Pennsylvania
240,Wilmington,0.2,19.456,4,South,kariox,Consumer,television,Second Class,556,3.4048,28403,North Carolina
241,New York City,0,9.99,1,East,fynota,Home Office,colddrinks,Standard Class,1163,4.5954,10035,New York
242,Houston,0.2,137.352,3,Central,kariox,Consumer,laptop,Standard Class,8310,8.5845,77036,Texas
243,Seattle,0.2,481.568,2,West,qexty,Corporate,tshirts,Standard Class,9644,54.1764,98103,Washington
244,El Paso,0.3,362.25,6,Central,qexty,Consumer,tshirts,Standard Class,7949,0,79907,Texas
245,Denver,0.2,636.408,3,West,kariox,Consumer,laptop,Standard Class,2101,-15.9102,80219,Colorado
246,Tampa,0.2,45.696,3,South,qexty,Consumer,shorts,Standard Class,604,5.1408,33614,Florida
247,Tampa,0.7,7.218,3,South,kariox,Consumer,headset,Standard Class,605,-5.5338,33614,Florida
248,Tampa,0.7,43.188,4,South,kariox,Consumer,headset,Standard Class,606,-31.6712,33614,Florida
249,Tampa,0.2,131.904,3,South,kariox,Consumer,phone,Standard Class,607,47.8152,33614,Florida
250,Raleigh,0.2,471.92,2,South,fynota,Home Office,colddrinks,Second Class,3453,29.495,27604,North Carolina
251,Lakeville,0,93.78,2,Central,kariox,Consumer,battery,Standard Class,1346,36.5742,55044,Minnesota
252,Lakeville,0,47.18,7,Central,kariox,Consumer,phone,Standard Class,1347,23.59,55044,Minnesota
253,Tampa,0.2,142.776,1,South,kariox,Consumer,laptop,Standard Class,603,17.847,33614,Florida
254,Lakeville,0,19.68,6,Central,kariox,Consumer,television,Standard Class,1348,5.7072,55044,Minnesota
255,Lakeville,0,35.88,6,Central,kariox,Consumer,headset,Standard Class,1350,17.2224,55044,Minnesota
256,New York City,0.4,1579.746,7,East,qexty,Corporate,hoodies,Standard Class,2358,-447.5947,10024,New York
257,New York City,0.4,1071.576,4,East,qexty,Corporate,hoodies,Standard Class,2359,-553.6476,10024,New York
258,New York City,0,34.86,7,East,kariox,Corporate,phone,Standard Class,2361,16.3842,10024,New York
259,New York City,0,155.04,4,East,kariox,Corporate,phone,Standard Class,2362,75.9696,10024,New York
260,Dallas,0.2,4.448,2,Central,kariox,Consumer,television,Same Day,5101,0.3336,75217,Texas
261,Royal Oak,0,22.38,2,Central,kariox,Consumer,phone,Standard Class,1172,10.7424,48073,Michigan
262,Lakeville,0,53.4,10,Central,kariox,Consumer,headset,Standard Class,1349,25.098,55044,Minnesota
263,Jacksonville,0.2,91.056,6,South,kariox,Home Office,phone,Standard Class,9515,31.8696,32216,Florida
264,New York City,0.4,613.908,3,East,qexty,Corporate,hoodies,Standard Class,2360,-122.7816,10024,New York
265,Chicago,0.3,574.91,2,Central,fynota,Home Office,sweets,First Class,9406,156.047,60653,Illinois
266,Chicago,0.2,8.448,2,Central,kariox,Home Office,phone,First Class,9407,2.64,60653,Illinois
